age;month;avg
1992;8;9,3
1992;9;6,95
1992;10;-9,05
1992;11;-18,43
1992;12;-10,85
1992;13;-4,9
1993;1;-13,57
1993;2;-13,93
1993;3;-10,17
1993;4;-7,62
1993;5;-0,99
1993;6;14,78
1993;7;14,74
1993;8;10,79
1993;9;3,38
1993;10;-4,01
1993;11;-11,28
1993;12;-15,61
1993;13;-2,73
1994;1;-16,51
1994;2;-22,35
1994;3;-8,62
1994;4;-3,15
1994;5;-2,67
1994;6;11,04
1994;7;11,31
1994;8;9,99
1994;9;5
1994;10;-2
1994;11;-16,21
1994;12;-12,5
1994;13;-3,77
1995;1;-11,16
1995;2;-10,1
1995;3;-9,21
1995;4;-1,83
1995;5;2,12
1995;6;7,5
1995;7;12,38
1995;8;10,85
1995;9;6,05
1995;10;-2,87
1995;11;-14,12
1995;12;-16,62
1995;13;-2,2
1996;1;-11,87
1996;2;-16,7
1996;3;-8,04
1996;4;-6,86
1996;5;-0,72
1996;6;7,82
1996;7;11,52
1996;8;7,72
1996;9;2,01
1996;10;-0,97
1996;11;-6,08
1996;12;-15,27
1996;13;-3,07
1997;1;-21,87
1997;2;-21,59
1997;3;-11,52
1997;4;-4,63
1997;5;0,18
1997;6;6,81
1997;7;8,08
1997;8;8,62
1997;9;6,3
1997;10;-2,82
1997;11;-14,67
1997;12;-21,29
1997;13;-5,61
1998;1;-20,45
1998;2;-29,88
1998;3;-11,69
1998;4;-10,71
1998;5;-1,94
1998;6;7,72
1998;7;16,35
1998;8;9,52
1998;9;2,37
1998;10;-7,25
1998;11;-19,92
1998;12;-19,58
1998;13;-6,96
1999;1;-27,32
1999;2;-17,42
1999;3;-13,55
1999;4;-8,62
1999;5;-4,9
1999;6;6,82
1999;7;11,1
1999;8;9,39
1999;9;4,74
1999;10;-0,19
1999;11;-15,26
1999;12;-13,29
1999;13;-5,64
2000;1;-23,45
2000;2;-15,3
2000;3;-8,99
2000;4;-4,21
2000;5;0,7
2000;6;10,27
2000;7;14,27
2000;8;10,12
2000;9;5,04
2000;10;0,69
2000;11;-9,36
2000;12;-20,26
2000;13;-3,35
2001;1;-17,25
2001;2;-24,5
2001;3;-15,28
2001;4;-4,4
2001;5;0,76
2001;6;8,04
2001;7;12,08
2001;8;11,63
2001;9;7,82
2001;10;-4,43
2001;11;-13,98
2001;12;-17,13
2001;13;-4,6
2002;1;-21,62
2002;2;-15,82
2002;3;-11,27
2002;4;-4,62
2002;5;-0,91
2002;6;6,84
2002;7;12,68
2002;8;7,03
2002;9;2,12
2002;10;-3,64
2002;11;-12,78
2002;12;-18,73
2002;13;-5
2003;1;-21,74
2003;2;-16,03
2003;3;-11,71
2003;4;-6,29
2003;5;1,75
2003;6;5,76
2003;7;13,57
2003;8;15,17
2003;9;5,61
2003;10;-0,01
2003;11;-8,82
2003;12;-11,62
2003;13;-2,78
2004;1;-15,27
2004;2;-17,5
2004;3;-15,22
2004;4;-8,01
2004;5;1,46
2004;6;8,14
2004;7;16,87
2004;8;9,96
2004;9;5,32
2004;10;-1,73
2004;11;-9,88
2004;12;-15,12
2004;13;-3,36
2005;1;-14,87
2005;2;-16,03
2005;3;-17,15
2005;4;-7,62
2005;5;1,93
2005;6;8,05
2005;7;13,15
2005;8;12,28
2005;9;7,28
2005;10;2,12
2005;11;-2,86
2005;12;-12,51
2005;13;-2,11
2006;1;-24,55
2006;2;-20,09
2006;3;-12,99
2006;4;-6,32
2006;5;2,29
2006;6;11,45
2006;7;10,4
2006;8;9,81
2006;9;5,65
2006;10;-4,97
2006;11;-13,99
2006;12;-13,21
2006;13;-4,63
2007;1;-13,34
2007;2;-23,16
2007;3;-6,39
2007;4;-3,39
2007;5;-0,78
2007;6;8,1
2007;7;15,91
2007;8;11,67
2007;9;6,13
2007;10;2,22
2007;11;-8,7
2007;12;-8,42
2007;13;-1,53
2008;1;-12,22
2008;2;-16,12
2008;3;-13,63
2008;4;-8,07
2008;5;-2,03
2008;6;8,79
2008;7;15,25
2008;8;9,25
2008;9;4,91
2008;10;0,74
2008;11;-9,05
2008;12;-9,38
2008;13;-2,58
2009;1;-19,75
2009;2;-19,79
2009;3;-10,1
2009;4;-7,2
2009;5;-2,07
2009;6;8,13
2009;7;12
2009;8;9,88
2009;9;7,44
2009;10;-1,98
2009;11;-13,02
2009;12;-24,57
2009;13;-5,01
2010;1;-20,85
2010;2;-23,14
2010;3;-12,95
2010;4;-3,31
2010;5;3,99
2010;6;7,01
2010;7;12,42
2010;8;9,18
2010;9;4,04
2010;10;-0,3
2010;11;-12,45
2010;12;-17,45
2010;13;-4,37
2011;1;-18,71
2011;2;-25,23
2011;3;-7,9
2011;4;-2,31
2011;5;3,87
2011;6;10,56
2011;7;11,38
2011;8;8,05
2011;9;7,27
2011;10;0,92
2011;11;-6,71
2011;12;-9,14
2011;13;-2,19
2012;1;-16,83
2012;2;-17,89
2012;3;-14,49
2012;4;-3,11
2012;5;2,88
2012;6;11,19
2012;7;12,88
2012;8;9,12
2012;9;6,4
2012;10;0,51
2012;11;-12,08
2012;12;-20,24
2012;13;-3,44
2013;1;-19,7
2013;2;-12,17
2013;3;-19,48
2013;4;-3,49
2013;5;1,21
2013;6;10,38
2013;7;16,41
2013;8;12,04
2013;9;4,84
2013;10;-4,2
2013;11;-8,25
2013;12;-14,51
2013;13;-3,05
2014;1;-23,45
2014;2;-20,16
2014;3;-8,69
2014;4;-4,82
2014;5;-0,53
2014;6;8,18
2014;7;8,32
2014;8;11,34
2014;9;4,87
2014;10;-5,11
2014;11;-7,56
2014;12;-13,46
2014;13;-4,17
2015;1;-23,66
2015;2;-14,5
2015;3;-6,14
2015;4;-4,04
2015;5;4,18
2015;6;11,05
2015;7;8,28
2015;8;9,24
2015;9;5,88
2015;10;-2,9
2015;11;-11,01
2015;12;-13,75
2015;13;-3,06
2016;1;-20,44
2016;2;-9,49
2016;3;-10,6
2016;4;-2,25
2016;5;4,06
2016;6;9,31
2016;7;17,38
2016;8;13,46
2016;9;8,53
2016;10;1,46
2016;11;-12,29
2016;12;-19,72
2016;13;-1,7
2017;1;-18,87
2017;2;-15,84
2017;3;-4,84
2017;4;-7,35
2017;5;-2,58
2017;6;5,98
2017;7;16,58
2017;8;11,35
2017;9;4,44
2017;10;-0,93
2017;11;-8,46
2017;12;-10,71
2017;13;-2,51
2018;1;-12,46
2018;2;-17,32
2018;3;-16,92
2018;4;-5,53
2018;5;-0,18
2018;6;7,74
2018;7;15,27
2018;8;10,91
2018;9;7,99
2018;10;-0,45
2018;11;-10,4
2018;12;-9,76
2018;13;-2,5
2019;1;-20,07
2019;2;-15,41
2019;3;-8,74
2019;4;-4,36
2019;5;0,72
2019;6;7,08
2019;7;12,16
2019;8;9,3
2019;9;6,65
2019;10;-2,51
2019;11;-11,97
2019;12;-12,19
2019;13;-3,21
2020;1;-13,66
2020;2;-10,47
2020;3;-5,7
2020;4;-3,8
2020;5;3,16
2020;6;8,62
2020;7;15,76
2020;8;11,52
2020;9;7,62
2020;10;-0,39
2020;11;-5,76
2020;12;-16,69
2020;13;-0,79
2021;1;-26,48
2021;2;-23,29
2021;3;-11,38
2021;4;-1,81
2021;5;4,46
2021;6;10,51
2021;7;11,74
2021;8;11,53
2021;9;4,21
2021;10;-1,05
2021;11;-11,36
2021;12;-18,47
2021;13;-4,18
2022;1;-15,69
2022;2;-12,07
2022;3;-11,96
2022;4;-5,54
2022;5;1,62
2022;6;9,49
2022;7;16,51
2022;8;14,24
2022;9;5,08
2022;10;1,14
2022;11;-9,7
2022;12;-17,61
2022;13;-1,98
2023;1;-13,04
2023;2;-12,77
2023;3;-10,84
2023;4;-5,14
2023;5;4,9
2023;6;7,44
2023;7;16
2023;8;14,17
2023;9;9,31
2023;10;-1,99
2023;11;-12,62
2023;12;-17,7
2023;13;-1,78
2024;1;-15,85
2024;2;-15,84
2024;3;-12,02
2024;4;-9,18
2024;5;-2,97
2024;6;6,09
2024;7;14,39
2024;8;12,13
2024;9;10,38
2024;10;0,25
2024;11;-7,29
2024;12;-11,35
2024;13;-2,56
